game_id,date,home_team,away_team,model,side,edge,kalshi_price,model_prob,home_win,outcome,pnl
22500601,2026-01-17,Portland Trail Blazers,Los Angeles Lakers,M3,sell,-0.0832,0.59,0.5068,1,0,-20.5
22500607,2026-01-18,Los Angeles Lakers,Toronto Raptors,M3,sell,-0.0639,0.55,0.4861,1,0,-22.5
22500605,2026-01-18,Denver Nuggets,Charlotte Hornets,M3,buy,0.0687,0.45,0.5187,0,0,-22.5
22500606,2026-01-18,Sacramento Kings,Portland Trail Blazers,M3,sell,-0.2308,0.49,0.2592,0,1,22.785
22500017,2026-01-19,Detroit Pistons,Boston Celtics,M3,buy,0.062,0.56,0.622,1,1,20.46
22500614,2026-01-20,Chicago Bulls,LA Clippers,M3,sell,-0.1075,0.57,0.4625,1,0,-21.5
22500613,2026-01-20,Philadelphia 76ers,Phoenix Suns,M3,buy,0.0939,0.44,0.5339,0,0,-22.0
22500623,2026-01-21,Memphis Grizzlies,Atlanta Hawks,M3,buy,0.1367,0.52,0.6567,0,0,-26.0
22500634,2026-01-22,Portland Trail Blazers,Miami Heat,M3,sell,-0.1167,0.59,0.4733,1,0,-20.5
22500627,2026-01-22,Orlando Magic,Charlotte Hornets,M3,sell,-0.0618,0.6,0.5382,0,1,27.9
22500643,2026-01-24,Philadelphia 76ers,New York Knicks,M3,sell,-0.0947,0.5,0.4053,0,1,23.25
22500661,2026-01-26,Chicago Bulls,Los Angeles Lakers,M3,sell,-0.0946,0.48,0.3854,0,1,22.32
22500674,2026-01-28,Miami Heat,Orlando Magic,M3,sell,-0.0874,0.58,0.4926,0,1,26.97
